year,title,performer,weeks_on_chart
1973,Stuck In The Middle With You,Stealers Wheel,18
1973,Heartbeat - It's A Lovebeat,The DeFranco Family featuring Tony DeFranco,17
1973,If You Want Me To Stay,Sly & The Family Stone,17
1973,Peaceful,Helen Reddy,17
1973,We're An American Band,Grand Funk,17
1973,You Are The Sunshine Of My Life,Stevie Wonder,17
1973,And I Love You So,Perry Como,16
1973,Angie,The Rolling Stones,16
1973,Boogie Woogie Bugle Boy,Bette Midler,16
1973,Daisy A Day,Jud Strunk,16
1973,Feelin' Stronger Every Day,Chicago,16
1973,Give It To Me,The J. Geils Band,16
1973,Give Your Baby A Standing Ovation,The Dells,16
1973,I Believe In You (You Believe In Me),Johnnie Taylor,16
1973,Killing Me Softly With His Song,Roberta Flack,16
1973,Knockin' On Heaven's Door,Bob Dylan,16
1973,Let's Pretend,Raspberries,16
1973,Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),16
1973,My Maria,B.W. Stevenson,16
1973,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips,16
1973,Paper Roses,Marie Osmond,16
1973,Ramblin Man,The Allman Brothers Band,16
1973,Reeling In The Years,Steely Dan,16
1973,Roll Over Beethoven,Electric Light Orchestra,16
1973,"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn Featuring Tony Orlando,16
1973,Shambala,Three Dog Night,16
1973,Smoke On The Water,Deep Purple,16
1973,Yes We Can Can,The Pointer Sisters,16
1973,Ain't No Woman (Like The One I've Got),Four Tops,15
1973,Back When My Hair Was Short,Gunhill Road,15
1973,"Daddy Could Swear, I Declare",Gladys Knight And The Pips,15
1973,Daniel,Elton John,15
1973,Ecstasy,Ohio Players,15
1973,Free Ride,Edgar Winter Group,15
1973,Get Down,Gilbert O'Sullivan,15
1973,Here I Am Come & Take Me,Al Green,15
1973,Jimmy Loves Mary-Anne,Looking Glass,15
1973,Last Song,Edward Bear,15
1973,Money,Pink Floyd,15
1973,Nobody Wants You When You're Down And Out,Bobby Womack,15
1973,Nutbush City Limits,Ike & Tina Turner,15
1973,One Of A Kind (Love Affair),The Spinners,15
1973,Out Of The Question,Gilbert O'Sullivan,15
1973,Rocky Mountain Way,Joe Walsh,15
1973,Satin Sheets,Jeanne Pruett,15
1973,Space Race,Billy Preston,15
1973,The Cisco Kid,War,15
1973,"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show,15
1973,The Morning After,Maureen McGovern,15
1973,All I Know,Garfunkel,14
1973,Armed And Extremely Dangerous,First Choice,14
1973,Big City Miss Ruth Ann,Gallery,14
1973,Break Up To Make Up,The Stylistics,14
1973,Could It Be I'm Falling In Love,The Spinners,14
1973,Daddy's Home,Jermaine Jackson,14
1973,Do You Want To Dance?,Bette Midler,14
1973,Dueling Banjos,Deliverance/Eric Weissberg & Steve Mandell,14
1973,Give Me Love - (Give Me Peace On Earth),George Harrison,14
1973,Higher Ground,Stevie Wonder,14
1973,Just You 'n' Me,Chicago,14
1973,Kodachrome,Paul Simon,14
1973,Live And Let Die,Wings,14
1973,Love Train,The O'Jays,14
1973,Masterpiece,The Temptations,14
1973,Never Let You Go,Bloodstone,14
1973,Sing,Carpenters,14
1974,One Hell Of A Woman,Mac Davis,28
1974,You Make Me Feel Brand New,The Stylistics,25
1974,Midnight At The Oasis,Maria Muldaur,24
1974,Come And Get Your Love,Redbone,23
1974,Dancing Machine,Jackson 5,22
1974,Seasons In The Sun,Terry Jacks,21
1974,Sideshow,Blue Magic,21
1974,The Air That I Breathe,The Hollies,21
1974,If You Love Me (let Me Know),Olivia Newton-John,20
1974,Just Don't Want To Be Lonely,The Main Ingredient,20
1974,Radar Love,Golden Earring,20
1974,Takin' Care Of Business,Bachman-Turner Overdrive,20
1974,The Loco-Motion,Grand Funk,20
1974,You And Me Against The World,Helen Reddy,20
1974,You Won't See Me,Anne Murray,20
1974,"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,19
1974,Help Me,Joni Mitchell,19
1974,Hollywood Swinging,Kool & The Gang,19
1974,Keep On Smilin',Wet Willie,19
1974,La Grange,ZZ Top,19
1974,Rikki Don't Lose That Number,Steely Dan,19
1974,Star Baby,The Guess Who,19
1974,The Show Must Go On,Three Dog Night,19
1974,Then Came You,Dionne Warwicke & Spinners,19
1974,You Haven't Done Nothin,Stevie Wonder,19
1974,Band On The Run,Paul McCartney And Wings,18
1974,Be Thankful For What You Got,William DeVaughn,18
1974,Bennie And The Jets,Elton John,18
1974,Boogie Down,Eddie Kendricks,18
1974,Finally Got Myself Together (I'm A Changed Man),The Impressions,18
1974,Jungle Boogie,Kool & The Gang,18
1974,Nothing From Nothing,Billy Preston,18
1974,Please Come To Boston,Dave Loggins,18
1974,Rock Me Gently,Andy Kim,18
1974,Rock The Boat,The Hues Corporation,18
1974,Sundown,Gordon Lightfoot,18
1974,Sunshine On My Shoulders,John Denver,18
1974,TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,18
1974,Tin Man,America,18
1974,ANNIE's SONG,John Denver,17
1974,Beach Baby,First Class,17
1974,Best Thing That Ever Happened To Me,Gladys Knight And The Pips,17
1974,Eres Tu (Touch The Wind),Mocedades,17
1974,Hang On In There Baby,Johnny Bristol,17
1974,Hooked On A Feeling,Blue Swede,17
1974,Lookin' For A Love,Bobby Womack,17
1974,Love's Theme,Love Unlimited Orchestra,17
1974,Oh Very Young,Cat Stevens,17
1974,On And On,Gladys Knight And The Pips,17
1974,Rock And Roll Heaven,The Righteous Brothers,17
1974,Rock On,David Essex,17
1974,Rock Your Baby,George McCrae,17
1974,Sweet Home Alabama,Lynyrd Skynyrd,17
1974,Tell Me Something Good,Rufus Featuring Chaka Khan,17
1974,Thanks For Saving My Life,Billy Paul,17
1974,The Night Chicago Died,Paper Lace,17
1974,The Streak,Ray Stevens,17
1974,The Way We Were,Barbra Streisand,17
1974,Waterloo,ABBA,17
1974,Wild Thing,Fancy,17
1974,Clap For The Wolfman,The Guess Who,16
1974,Dark Lady,Cher,16
1974,Feel Like Makin' Love,Roberta Flack,16
1974,For The Love Of Money,The O'Jays,16
1974,I've Got The Music In Me,The Kiki Dee Band,16
1974,If You Wanna Get To Heaven,Ozark Mountain Daredevils,16
1974,Jazzman,Carole King,16
1974,Live It Up Part 1,The Isley Brothers,16
1974,Mockingbird,Carly Simon & James Taylor,16
1974,My Mistake (Was To Love You),Diana Ross & Marvin Gaye,16
1974,The Entertainer,"Marvin Hamlisch/""The Sting""",16
1974,The Need To Be,Jim Weatherly,16
1974,This Heart,Gene Redding,16
1974,Trying To Hold On To My Woman,Lamont Dozier,16
1974,Tubular Bells,Mike Oldfield,16
1974,(You're) Having My Baby,Paul Anka with Odia Coates,15
1974,(i've Been) Searchin' So Long,Chicago,15
1974,Already Gone,Eagles,15
1974,Back Home Again,John Denver,15
1974,Call On Me,Chicago,15
1974,Can't Get Enough,Bad Company,15
1974,Do It Baby,The Miracles,15
1974,Don't Let The Sun Go Down On Me,Elton John,15
1974,Don't You Worry 'Bout A Thing,Stevie Wonder,15
1974,Everlasting Love,Carl Carlton,15
1974,I Honestly Love You,Olivia Newton-John,15
1974,I'm Leaving It (All) Up To You,Donny & Marie Osmond,15
1974,Let It Ride,Bachman-Turner Overdrive,15
1974,Life Is A Rock (But The Radio Rolled Me),Reunion,15
1974,Mighty Love - Pt. 1,The Spinners,15
1974,Mighty Mighty,"Earth, Wind & Fire",15
1974,My Girl Bill,Jim Stafford,15
1974,My Melody Of Love,Bobby Vinton,15
1974,My Sweet Lady,Cliff DeYoung,15
1974,Rub It In,"Billy ""Crash"" Craddock",15
1974,Spiders & Snakes,Jim Stafford,15
1974,There Won't Be Anymore,Charlie Rich,15
1974,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,15
1974,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,15
1974,A Very Special Love Song,Charlie Rich,14
1975,Feelings,Morris Albert,28
1975,"Black Superman - ""Muhammad Ali""",Johnny Wakelin & The Kinshasa Band,27
1975,Ballroom Blitz,Sweet,25
1975,Love Will Keep Us Together,The Captain & Tennille,23
1975,Rhinestone Cowboy,Glen Campbell,23
1975,Before The Next Teardrop Falls,Freddy Fender,21
1975,Fame,David Bowie,21
1975,Jackie Blue,Ozark Mountain Daredevils,21
1975,Philadelphia Freedom,The Elton John Band,21
1975,At Seventeen,Janis Ian,20
1975,Dynomite-Part I,Tony Camillo's Bazuka,20
1975,Magic,Pilot,20
1975,Shining Star,"Earth, Wind & Fire",20
1975,Why Can't We Be Friends?,War,20
1975,Eighteen With A Bullet,Pete Wingfield,19
1975,Killer Queen,Queen,19
1975,Lady Blue,Leon Russell,19
1975,Thank God I'm A Country Boy,John Denver,19
1975,The Hustle,Van McCoy & The Soul City Symphony,19
1975,Wasted Days And Wasted Nights,Freddy Fender,19
1975,Who Loves You,The 4 Seasons,19
1975,Wildfire,Michael Murphey,19
1975,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,18
1975,Blue Eyes Crying In The Rain,Willie Nelson,18
1975,Brazil,The Ritchie Family,18
1975,Could It Be Magic,Barry Manilow,18
1975,Dance With Me,Orleans,18
1975,Fight The Power Part 1,The Isley Brothers,18
1975,Give It What You Got/Peace Pipe,B.T. Express,18
1975,I Only Have Eyes For You,Art Garfunkel,18
1975,I'm On Fire,Dwight Twilley Band,18
1975,I'm Sorry,John Denver,18
1975,It Only Takes A Minute,Tavares,18
1975,Lady Marmalade,Labelle,18
1975,Love Won't Let Me Wait,Major Harris,18
1975,Lovin' You,Minnie Riperton,18
1975,Poetry Man,Phoebe Snow,18
1975,Shoeshine Boy,Eddie Kendricks,18
1975,Sky High,Jigsaw,18
1975,They Just Can't Stop It the (Games People Play),The Spinners,18
1975,7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire,17
1975,Bad Luck (Part 1),Harold Melvin And The Blue Notes,17
1975,Chevy Van,Sammy Johns,17
1975,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,17
1975,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",17
1975,"Get Down, Get Down (Get On The Floor)",Joe Simon,17
1975,I Want'a Do Something Freaky To You,Leon Haywood,17
1975,I'm Not In Love,10cc,17
1975,I'm Not Lisa,Jessi Colter,17
1975,Jive Talkin',Bee Gees,17
1975,Midnight Blue,Melissa Manchester,17
1975,Miracles,Jefferson Starship,17
1975,My Eyes Adored You,Frankie Valli,17
1975,One Of These Nights,Eagles,17
1975,Rocky,Austin Roberts,17
1975,S.O.S.,ABBA,17
1975,Spirit Of The Boogie/Summer Madness,Kool & The Gang,17
1975,The Way We Were/try To Remember,Gladys Knight And The Pips,17
1975,This Will Be,Natalie Cole,17
1975,Walking In Rhythm,The Blackbyrds,17
1975,You Are So Beautiful/It's A Sin When You Love Somebody,Joe Cocker,17
1975,Ain't No Way To Treat A Lady,Helen Reddy,16
1975,Do It Any Way You Wanna,People's Choice,16
1975,Have You Never Been Mellow,Olivia Newton-John,16
1975,How Long,Ace,16
1975,Misty,Ray Stevens,16
1975,Only Women,Alice Cooper,16
1975,Sad Sweet Dreamer,Sweet Sensation,16
1975,"Shame, Shame, Shame",Shirley And Company,16
1975,Sister Golden Hair,America,16
1975,That's The Way Of The World,"Earth, Wind & Fire",16
1975,The Rockford Files,Mike Post,16
1975,Third Rate Romance,Amazing Rhythm Aces,16
1975,What A Diff'rence A Day Makes,Esther Phillips,16
1975,Bad Time,Grand Funk,15
1975,Black Water,The Doobie Brothers,15
1975,Cut The Cake,AWB,15
1975,Express,B.T. Express,15
1975,Feel Like Makin' Love,Bad Company,15
1975,Get Down Tonight,KC And The Sunshine Band,15
1975,Hijack,Herbie Mann,15
1975,How Long (Betcha' Got A Chick On The Side),The Pointer Sisters,15
1975,How Sweet It Is (To Be Loved By You),James Taylor,15
1975,I Don't Like To Sleep Alone,Paul Anka with Odia Coates,15
1975,I'll Play For You,Seals & Crofts,15
1975,Long Tall Glasses (I Can Dance),Leo Sayer,15
1975,Low Rider,War,15
1975,Please Mr. Please,Olivia Newton-John,15
1975,Slippery When Wet,Commodores,15
1975,The Last Farewell,Roger Whittaker,15
1975,To Each His Own,"Faith, Hope And Charity",15
1975,When Will I Be Loved,Linda Ronstadt,15
1975,Bad Blood,Neil Sedaka,14
1975,Best Of My Love,Eagles,14
1975,Can't Get It Out Of My Head,Electric Light Orchestra,14
1975,Emma,Hot Chocolate,14
1975,Fire,Ohio Players,14
1975,He Don't Love You (Like I Love You),Tony Orlando & Dawn,14
1975,Holdin' On To Yesterday,Ambrosia,14
1975,Hollywood Hot,The Eleventh Hour,14
1976,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,28
1976,Sara Smile,Daryl Hall John Oates,28
1976,Love Is Alive,Gary Wright,27
1976,"December, 1963 (Oh, What a Night)",The 4 Seasons,26
1976,Get Closer,Seals & Crofts (Featuring Carolyn Willis),26
1976,Kiss And Say Goodbye,The Manhattans,26
1976,"More, More, More Pt. 1",Andrea True Connection,25
1976,Play That Funky Music,Wild Cherry,25
1976,Turn The Beat Around,Vicki Sue Robinson,25
1976,A Little Bit More,Dr. Hook,24
1976,Bohemian Rhapsody,Queen,24
1976,I'd Really Love To See You Tonight,England Dan & John Ford Coley,24
1976,Magic Man,Heart,23
1976,Devil Woman,Cliff Richard,22
1976,Lowdown,Boz Scaggs,22
1976,Misty Blue,Dorothy Moore,22
1976,Moonlight Feels Right,Starbuck,22
1976,Only Sixteen,Dr. Hook,22
1976,Sweet Love,Commodores,22
1976,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,21
1976,Boogie Fever,The Sylvers,21
1976,Get Up And Boogie (That's Right),Silver Convention,21
1976,Heaven Must Be Missing An Angel (part 1),Tavares,21
1976,Sweet Thing,Rufus Featuring Chaka Khan,21
1976,Take It To The Limit,Eagles,21
1976,Wham Bam (Shang-A-Lang),Silver,21
1976,You'll Never Find Another Love Like Mine,Lou Rawls,21
1976,(Don't Fear) The Reaper,Blue Oyster Cult,20
1976,Afternoon Delight,Starland Vocal Band,20
1976,Deep Purple,Donny & Marie Osmond,20
1976,Disco Duck (Part I),Rick Dees & His Cast Of Idiots,20
1976,Don't Go Breaking My Heart,Elton John & Kiki Dee,20
1976,Dream On,Aerosmith,20
1976,Dream Weaver,Gary Wright,20
1976,I Never Cry,Alice Cooper,20
1976,If You Leave Me Now,Chicago,20
1976,Let Her In,John Travolta,20
1976,Right Back Where We Started From,Maxine Nightingale,20
1976,Shannon,Henry Gross,20
1976,She's Gone,Daryl Hall John Oates,20
1976,Union Man,Cate Bros.,20
1976,You Should Be Dancing,Bee Gees,20
1976,Disco Lady,Johnnie Taylor,19
1976,Getaway,"Earth, Wind & Fire",19
1976,I'm Easy,Keith Carradine,19
1976,Let Your Love Flow,Bellamy Brothers,19
1976,Lonely Night (angel Face),Captain & Tennille,19
1976,Say You Love Me,Fleetwood Mac,19
1976,Silly Love Songs,Wings,19
1976,This Masquerade,George Benson,19
1976,You Are The Woman,Firefall,19
1976,Golden Years,David Bowie,18
1976,Love Hangover,Diana Ross,18
1976,Love Machine (Part 1),The Miracles,18
1976,Rock'n Me,Steve Miller,18
1976,Show Me The Way,Peter Frampton,18
1976,Still The One,Orleans,18
1976,The Best Disco In Town,The Ritchie Family,18
1976,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,18
1976,All By Myself,Eric Carmen,17
1976,Beth/Detroit Rock City,KISS,17
1976,Fooled Around And Fell In Love,Elvin Bishop,17
1976,I'll Be Good To You,The Brothers Johnson,17
1976,Love Hurts,Nazareth,17
1976,Rhiannon (will You Ever Win),Fleetwood Mac,17
1976,Rock And Roll Music,The Beach Boys,17
1976,Tear The Roof Off The Sucker (Give Up The Funk),Parliament,17
1976,The Boys Are Back In Town,Thin Lizzy,17
1976,Theme From S.W.A.T.,Rhythm Heritage,17
1976,Who'd She Coo?,Ohio Players,17
1976,With Your Love,Jefferson Starship,17
1976,"Baby, I Love Your Way",Peter Frampton,16
1976,Fernando,ABBA,16
1976,Got To Get You Into My Life,The Beatles,16
1976,I Only Want To Be With You,Bay City Rollers,16
1976,Let 'em In,Wings,16
1976,Movin',Brass Construction,16
1976,Shop Around,Captain & Tennille,16
1976,Shower The People,James Taylor,16
1976,Sophisticated Lady (She's A Different Lady),Natalie Cole,16
1976,Summer,War,16
1976,Take The Money And Run,Steve Miller,16
1976,That'll Be The Day,Linda Ronstadt,16
1976,The Rubberband Man,The Spinners,16
1976,You Are My Starship,Norman Connors,16
1976,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",16
1976,You're My Best Friend,Queen,16
1976,Young Hearts Run Free,Candi Staton,16
1976,50 Ways To Leave Your Lover,Paul Simon,15
1976,Do You Feel Like We Do,Peter Frampton,15
1976,Fanny (Be Tender With My Love),Bee Gees,15
1976,Get The Funk Out Ma Face,The Brothers Johnson,15
1976,"I Do, I Do, I Do, I Do, I Do",ABBA,15
1976,It's A Long Way There,Little River Band,15
1976,Junk Food Junkie,Larry Groce,15
1976,Just To Be Close To You,Commodores,15
1976,Last Child,Aerosmith,15
1976,Love So Right,Bee Gees,15
1976,Money Honey,Bay City Rollers,15
1976,More Than A Feeling,Boston,15
1977,I Just Want To Be Your Everything,Andy Gibb,31
1977,Devil's Gun,C.J. & Company,29
1977,On And On,Stephen Bishop,28
1977,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,27
1977,Angel In Your Arms,Hot,27
1977,Whatcha Gonna Do?,Pablo Cruise,26
1977,Undercover Angel,Alan O'Day,25
1977,Boogie Nights,Heatwave,24
1977,Nobody Does It Better,Carly Simon,24
1977,Swayin' To The Music (slow Dancin'),Johnny Rivers,24
1977,That's Rock 'N' Roll,Shaun Cassidy,24
1977,Best Of My Love,The Emotions,23
1977,I'm Your Boogie Man,KC And The Sunshine Band,23
1977,Telephone Line,Electric Light Orchestra,23
1977,Ariel,Dean Friedman,22
1977,Couldn't Get It Right,Climax Blues Band,22
1977,Da Doo Ron Ron,Shaun Cassidy,22
1977,Do You Wanna Make Love,Peter Mccann,22
1977,Don't Leave Me This Way,Thelma Houston,22
1977,Easy,Commodores,22
1977,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,22
1977,Feels Like The First Time,Foreigner,22
1977,Help Is On Its Way,Little River Band,22
1977,I Feel Love,Donna Summer,22
1977,It Was Almost Like A Song,Ronnie Milsap,22
1977,Margaritaville,Jimmy Buffett,22
1977,Right Time Of The Night,Jennifer Warnes,22
1977,You're My World,Helen Reddy,22
1977,Cold As Ice,Foreigner,21
1977,Don't It Make My Brown Eyes Blue,Crystal Gayle,21
1977,Heard It In A Love Song,The Marshall Tucker Band,21
1977,I've Got Love On My Mind,Natalie Cole,21
1977,Just A Song Before I Go,"Crosby, Stills & Nash",21
1977,Just Remember I Love You,Firefall,21
1977,Lonely Boy,Andrew Gold,21
1977,Southern Nights,Glen Campbell,21
1977,Way Down,Elvis Presley,21
1977,You And Me,Alice Cooper,21
1977,Barracuda,Heart,20
1977,Gonna Fly Now,Bill Conti,20
1977,Handy Man,James Taylor,20
1977,Heaven On The 7th Floor,Paul Nicholas,20
1977,I'm In You,Peter Frampton,20
1977,It's Ecstasy When You Lay Down Next To Me,Barry White,20
1977,Keep It Comin' Love,KC And The Sunshine Band,20
1977,Rich Girl,Daryl Hall John Oates,20
1977,Star Wars Theme/Cantina Band,Meco,20
1977,When I Need You,Leo Sayer,20
1977,Carry On Wayward Son,Kansas,19
1977,Dancing Queen,ABBA,19
1977,Don't Give Up On Us,David Soul,19
1977,Dreams,Fleetwood Mac,19
1977,Hotel California,Eagles,19
1977,I Go Crazy,Paul Davis,19
1977,I Like Dreamin',Kenny Nolan,19
1977,Looks Like We Made It,Barry Manilow,19
1977,Lucille,Kenny Rogers,19
1977,So In To You,Atlanta Rhythm Section,19
1977,Strawberry Letter 23,The Brothers Johnson,19
1977,The Things We Do For Love,10cc,19
1977,Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,18
1977,Don't Stop,Fleetwood Mac,18
1977,Dusic,Brick,18
1977,Fly Like An Eagle,Steve Miller,18
1977,Give A Little Bit,Supertramp,18
1977,Got To Give It Up (Pt. I),Marvin Gaye,18
1977,It Feels So Good To Be Loved So Bad,The Manhattans,18
1977,Jet Airliner,The Steve Miller Band,18
1977,Love's Grown Deep,Kenny Nolan,18
1977,Smoke From A Distant Fire,The Sanford/Townsend Band,18
1977,We Just Disagree,Dave Mason,18
1977,You Light Up My Life,Debby Boone,18
1977,Black Betty,Ram Jam,17
1977,Blue Bayou,Linda Ronstadt,17
1977,Disco Lucy (i Love Lucy Theme),Wilton Place Street Band,17
1977,Do What You Wanna Do,T-Connection,17
1977,Don't Worry Baby,B.J. Thomas,17
1977,Free,Deniece Williams,17
1977,High School Dance,The Sylvers,17
1977,I Wanna Get Next To You,Rose Royce,17
1977,Lido Shuffle,Boz Scaggs,17
1977,My Heart Belongs To Me,Barbra Streisand,17
1977,Sir Duke,Stevie Wonder,17
1977,Star Wars (Main Title),London Symphony Orchestra,17
1977,Uptown Festival (Part 1),Shalamar,17
1977,You Made Me Believe In Magic,Bay City Rollers,17
1977,Brick House,Commodores,16
1977,Float On,The Floaters,16
1977,Hello Stranger,Yvonne Elliman,16
1977,It's Sad To Belong,England Dan & John Ford Coley,16
1977,Living Next Door To Alice,Smokie,16
1977,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,16
1977,Say You'll Stay Until Tomorrow,Tom Jones,16
1977,She Did It,Eric Carmen,16
1977,"Signed, Sealed, Delivered (I'm Yours)",Peter Frampton,16
1977,Telephone Man,Meri Wilson,16
1977,Torn Between Two Lovers,Mary Macgregor,16
1977,We're All Alone,Rita Coolidge,16
1977,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,16
1977,"Baby, What A Big Surprise",Chicago,15
1978,Hot Child In The City,Nick Gilder,30
1978,Dance With Me,Peter Brown With Betty Wright,28
1978,I Love The Nightlife (Disco 'round),Alicia Bridges,26
1978,Feels So Good,Chuck Mangione,25
1978,Love Is Like Oxygen,Sweet,25
1978,Shadow Dancing,Andy Gibb,25
1978,You Needed Me,Anne Murray,25
1978,You're The One That I Want,John Travolta & Olivia Newton-John,24
1978,Boogie Oogie Oogie,A Taste Of Honey,23
1978,Kiss You All Over,Exile,23
1978,Lay Down Sally,Eric Clapton,23
1978,Stayin' Alive,Bee Gees,23
1978,Two Out Of Three Ain't Bad,Meat Loaf,23
1978,Grease,Frankie Valli,22
1978,I Can't Stand The Rain,Eruption,22
1978,If I Can't Have You,Yvonne Elliman,22
1978,Magnet And Steel,Walter Egan,22
1978,You Never Done It Like That,Captain & Tennille,22
1978,Get Off,Foxy,21
1978,Goodbye Girl,David Gates,21
1978,I Go Crazy,Paul Davis,21
1978,It's A Heartache,Bonnie Tyler,21
1978,Jack And Jill,Raydio,21
1978,Last Dance,Donna Summer,21
1978,Love Is In The Air,John Paul Young,21
1978,Our Love,Natalie Cole,21
1978,(Love Is) Thicker Than Water,Andy Gibb,20
1978,Always And Forever,Heatwave,20
1978,Baby Hold On,Eddie Money,20
1978,Baker Street,Gerry Rafferty,20
1978,Disco Inferno,The Trammps,20
1978,Dust In The Wind,Kansas,20
1978,Emotion,Samantha Sang,20
1978,Miss You,The Rolling Stones,20
1978,Night Fever,Bee Gees,20
1978,Reminiscing,Little River Band,20
1978,The Closer I Get To You,Roberta Flack With Donny Hathaway,20
1978,Three Times A Lady,Commodores,20
1978,"Whenever I Call You ""Friend""",Kenny Loggins,20
1978,Can't Smile Without You,Barry Manilow,19
1978,Hopelessly Devoted To You,Olivia Newton-John,19
1978,Just The Way You Are,Billy Joel,19
1978,Shame,"Evelyn ""Champagne"" King",19
1978,Sweet Life,Paul Davis,19
1978,Use Ta Be My Girl,The O'Jays,19
1978,Baby Come Back,Player,18
1978,Because The Night,Patti Smith Group,18
1978,Dance (Disco Heat),Sylvester,18
1978,Dance Across The Floor,"Jimmy ""Bo"" Horne",18
1978,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,18
1978,Every Kinda People,Robert Palmer,18
1978,How Deep Is Your Love,Bee Gees,18
1978,How Much I Feel,Ambrosia,18
1978,Love Will Find A Way,Pablo Cruise,18
1978,On Broadway,George Benson,18
1978,Still The Same,Bob Seger & The Silver Bullet Band,18
1978,Take A Chance On Me,ABBA,18
1978,Talking In Your Sleep,Crystal Gayle,18
1978,Thunder Island,Jay Ferguson,18
1978,"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams,18
1978,With A Little Luck,Wings,18
1978,You Belong To Me,Carly Simon,18
1978,Chattanooga Choo Choo,Tuxedo Junction,17
1978,Ebony Eyes,Bob Welch,17
1978,Hot Blooded,Foreigner,17
1978,I Just Wanna Stop,Gino Vannelli,17
1978,Imaginary Lover,Atlanta Rhythm Section,17
1978,Just What I Needed,The Cars,17
1978,Lady Love,Lou Rawls,17
1978,MacArthur Park,Donna Summer,17
1978,My Angel Baby,Toby Beau,17
1978,Rivers Of Babylon,Boney M.,17
1978,Running On Empty,Jackson Browne,17
1978,The Groove Line,Heatwave,17
1978,This Time I'm In It For Love,Player,17
1978,Wonderful Tonight,Eric Clapton,17
1978,You And I,Rick James,17
1978,An Everlasting Love,Andy Gibb,16
1978,Bluer Than Blue,Michael Johnson,16
1978,Change Of Heart,Eric Carmen,16
1978,Copacabana (at The Copa),Barry Manilow,16
1978,Deacon Blues,Steely Dan,16
1978,Don't Want To Live Without It,Pablo Cruise,16
1978,Falling,LeBlanc & Carr,16
1978,Flash Light,Parliament,16
1978,Follow You Follow Me,Genesis,16
1978,Ready To Take A Chance Again,Barry Manilow,16
1978,Runaway,Jefferson Starship,16
1978,Sharing The Night Together,Dr. Hook,16
1978,Sometimes When We Touch,Dan Hill,16
1978,Stuff Like That,Quincy Jones,16
1978,Summer Nights,John Travolta & Olivia Newton-John & Cast,16
1978,Sweet Talkin' Woman,Electric Light Orchestra,16
1978,Thank God It's Friday,Love And Kisses,16
1978,We Are The Champions,Queen,16
1978,You're The Love,Seals & Crofts,16
1978,Can We Still Be Friends,Todd Rundgren,15
1978,Double Vision,Foreigner,15
1978,Fantasy,"Earth, Wind & Fire",15
1978,Fool If You Think It's Over,Chris Rea,15
1979,Sad Eyes,Robert John,27
1979,When You're In Love With A Beautiful Woman,Dr. Hook,25
1979,I Will Survive,Gloria Gaynor,24
1979,I'll Never Love This Way Again,Dionne Warwick,24
1979,Makin' It,David Naughton,24
1979,Heaven Must Have Sent You,Bonnie Pointer,23
1979,Lead Me On,Maxine Nightingale,23
1979,Reunited,Peaches & Herb,23
1979,Rise,Herb Alpert,23
1979,I Know A Heartache When I See One,Jennifer Warnes,22
1979,My Sharona,The Knack,22
1979,Shake Your Body (Down To The Ground),The Jacksons,22
1979,Stumblin' In,Suzi Quatro & Chris Norman,22
1979,You Can't Change That,Raydio,22
1979,Don't Stop 'til You Get Enough,Michael Jackson,21
1979,Heart Of Glass,Blondie,21
1979,Hot Stuff,Donna Summer,21
1979,Pop Muzik,M,21
1979,Ring My Bell,Anita Ward,21
1979,The Logical Song,Supertramp,21
1979,Bad Girls,Donna Summer,20
1979,Just When I Needed You Most,Randy VanWarmer,20
1979,Knock On Wood,Amii Stewart,20
1979,Lady,Little River Band,20
1979,"Lovin', Touchin', Squeezin'",Journey,20
1979,Music Box Dancer,Frank Mills,20
1979,Rock 'n' Roll Fantasy,Bad Company,20
1979,This Night Won't Last Forever,Michael Johnson,20
1979,Tragedy,Bee Gees,20
1979,What A Fool Believes,The Doobie Brothers,20
1979,Born To Be Alive,Patrick Hernandez,19
1979,Da Ya Think I'm Sexy?,Rod Stewart,19
